folder,source_page,original_filename,optimized_filename,relative_path,width,height
00_cover_and_logos,001,p001_img01_cover_and_logos.png,p001_img01_cover_and_logos.jpg,00_cover_and_logos/p001_img01_cover_and_logos.jpg,615,207
00_cover_and_logos,001,p001_img02_cover_and_logos.png,p001_img02_cover_and_logos.jpg,00_cover_and_logos/p001_img02_cover_and_logos.jpg,828,951
00_cover_and_logos,001,p001_img03_cover_and_logos.png,p001_img03_cover_and_logos.jpg,00_cover_and_logos/p001_img03_cover_and_logos.jpg,676,650
01_founders_background_and_projects,003,p003_img01_founders_background_and_projects.png,p003_img01_founders_background_and_projects.jpg,01_founders_background_and_projects/p003_img01_founders_background_and_projects.jpg,960,640
02_shosa_awards_reunion_dinner_2016_kololo,005,p005_img01_shosa_awards_reunion_dinner_2016_kololo.png,p005_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p005_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,800,800
02_shosa_awards_reunion_dinner_2016_kololo,006,p006_img01_shosa_awards_reunion_dinner_2016_kololo.png,p006_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p006_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,1600,1062
02_shosa_awards_reunion_dinner_2016_kololo,006,p006_img02_shosa_awards_reunion_dinner_2016_kololo.png,p006_img02_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p006_img02_shosa_awards_reunion_dinner_2016_kololo.jpg,1600,1066
02_shosa_awards_reunion_dinner_2016_kololo,007,p007_img01_shosa_awards_reunion_dinner_2016_kololo.png,p007_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p007_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,1269,846
02_shosa_awards_reunion_dinner_2016_kololo,007,p007_img02_shosa_awards_reunion_dinner_2016_kololo.png,p007_img02_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p007_img02_shosa_awards_reunion_dinner_2016_kololo.jpg,1269,843
02_shosa_awards_reunion_dinner_2016_kololo,008,p008_img01_shosa_awards_reunion_dinner_2016_kololo.png,p008_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p008_img01_shosa_awards_reunion_dinner_2016_kololo.jpg,1269,843
02_shosa_awards_reunion_dinner_2016_kololo,008,p008_img02_shosa_awards_reunion_dinner_2016_kololo.png,p008_img02_shosa_awards_reunion_dinner_2016_kololo.jpg,02_shosa_awards_reunion_dinner_2016_kololo/p008_img02_shosa_awards_reunion_dinner_2016_kololo.jpg,1269,843
